V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100
t25	-6.919	-10.569	-12.942	-12.334	-9.231	-9.446	-10.952	-9.95	-10.386	-10.822	-7.649	-10.078	-11.75	-7.842	-10.691	-6.399	-9.684	-8.237	-10.34	-14.308	-7.879	-6.959	-10.215	-11.559	-9.563	-6.814	-7.812	-4.803	-6.172	-7.741	-8.791	-15.797	-11.347	-9.165	-6.857	-11.713	-9.897	-16.891	-10.094	-11.506	-9.533	-11.579	-10.782	-6.21	-10.19	-8.246	-12.807	-9.547	-0.98	-8.594	-13.818	-6.664	-12.137	-21.092	-8.464	-6.568	-8.873	-1.742	-11.59	-14.479	-6.252	-6.336	-9.129	-6.854	-4.385	-9.044	-8.388	-7.097	-9.066	-11.486	-10.494	-8.96	-9.058	-7.999	-14.142	-11.268	-11.015	-6.932	-7.896	-6.429	-8.619	-5.681	-5.77	-0.955	-5.436	-18.195	-6.756	-10.454	-20.501	-12.174	-11.373	-14.943	-9.136	-11	-9.218	-15.124	-8.899	-6.717	-5.695	-12.229
t9	-7.748	-7.315	-15.724	-8.671	-7.539	-12.585	-7.096	-12.378	-3.725	-4.791	-12.795	-6.936	-13.536	-9.729	-6.952	-14.023	-10.662	-4.031	-8.733	-8.603	-13.715	-11.641	-13.239	-10.298	-2.544	-11.465	-11.827	-9.616	-5.383	-7.512	-8.047	-11.536	-6.17	-8.868	-8.895	-3.353	-13.508	-7.701	-12.12	-8.681	-9.401	-11.58	-9.724	-11.675	-7.781	-11.504	-6.057	-8.087	-12.818	-10.645	-9.15	-6.473	-7.431	-11.476	-5.695	-10.997	-2.448	-3.376	-11.785	-7.79	-3.023	-10.048	-6.898	-6.232	-10.392	-9.426	-9.52	-11.654	-4.912	-5.742	-8.533	-4.281	-11.855	-7.831	-8.394	-7.761	-10.16	-8.935	-11.321	-8.79	-14.051	-5.189	-1.879	-8.088	-8.23	-8.237	-5.852	-8.99	-8.817	-7.194	-6.96	-10.633	-7.471	-12.945	-8.587	-10.752	-10.309	-11.94	-0.798	-9.575
t40	-12.439	-6.874	-9.105	-11.779	-5.071	-4.116	-1.529	-7.547	-6.734	-3.491	-6.723	-9.066	-9.257	-8.32	-9.07	-9.761	-8.205	-7.519	-6.764	-5.633	-15.432	-10.04	-2.672	-5.475	-7.757	-13.017	-15.906	-9.006	-3.244	-5.078	-11.015	-9.027	-5.366	-9.771	-3.078	-13.116	-11.248	-13.638	-6.982	-9.623	-9.627	-5.912	-4.442	-12.004	-8.242	-7.217	-14.065	-9.657	-8.584	-6.098	-10.344	-7.563	-7.571	-3.982	-7.524	-8.353	-14.155	-6.619	-9.219	-6.933	-6.225	-13.58	-5.021	-2.421	-8.817	-7.049	-10.676	-12.662	-1.236	-13.823	-10.343	-7.855	-6.754	-10.84	-12.277	-9.139	-11.969	-2.845	-9.051	-11.616	-6.065	-6.369	-8.636	-7.535	-9.439	-12.744	-8.086	-11.178	-7.141	-13.967	-14.021	-7.575	-9.211	-7.069	-9.275	-3.938	-3.441	-11.585	-11.392	-9.162
t27	-3.187	-11.527	-3.061	-6.137	-5.423	-8.731	-6.479	-12.583	-12.047	-2.209	-13.47	-6.383	-5.309	-10.311	-4.5	-11.33	-12.755	-8.309	-4.356	-8.874	-12.661	-8.975	-8.341	-7.335	-3.603	-8.671	-3.782	-8.496	-6.688	-5.369	-3.689	-7.542	-9.079	-6.353	-5.542	-1.721	-9.64	-9.952	-8.874	-4.853	-7.974	-7.268	-8.11	-11.365	-9.556	-9.539	-7.014	-5.708	-9.179	-7.138	-5.75	-5.301	-4.746	-5.955	-7.977	-7.417	-5.409	-6.51	-10.22	-4.895	-7.36	-3.696	-8.132	-6.831	-4.898	-6.832	-7.958	-4.79	-1.371	-8.666	-7.512	-5.001	-3.745	-4.862	-5.494	-5.921	-8.87	-7.999	-7.298	-11.793	-11.242	-6.79	-3.876	-5.997	-8.244	-13.299	-9.571	-7.462	-6.894	-12.522	-2.761	-7.946	-14.753	-10.85	-5.883	-9.617	-8.488	-4.821	-14.164	-7.076
t45	-9.663	-9.447	-11.984	-5.451	-11.132	-13.72	-7.414	-7.078	-5.567	-6.153	-7.909	-13.08	-13.024	-14.8	-8.728	-4.225	-2.174	-9.353	-10.03	-9.329	-8.552	-5.849	-0.92	-8.352	-5.976	-12.793	-11.371	-9.129	-7.077	-7.063	-5.446	-7.545	-12.283	-8.202	-5.436	-8.77	-13.993	-7.211	-5.176	-14.42	-1.894	-4.925	-6.914	-7.103	-9.102	-11.977	-8.707	-10.418	-6.343	-8.5	-8.348	-3.504	-13.656	-6.73	-6.063	-3.872	-12.107	-10.309	-11.028	-7.185	-9.068	-9.804	-6.881	-8.64	-9.062	-5.576	-7.478	-8.228	-10.757	-8.975	-8.215	-6.621	-7.914	-7.46	-10.695	-9.638	-3.45	-9.2	-6.12	-4.087	-8.104	-9.351	-6.573	-9.023	-2.91	-17.049	-6.057	-5.893	-14.108	-5.895	-3.286	-8.891	-12.106	-3.67	-3.58	-12.646	-6.893	-9.731	-8.08	-5.712
t37	-8.949	-6.85	-11.878	-6.729	-8.638	-10.292	-10.515	-7.879	-6.788	-3.37	-12.241	-6.683	-9.961	-7.436	-11.33	-10.262	-9.201	-4.57	-4.484	-5.117	-5.908	-9.627	-8.408	-7.857	-9.109	-11.008	-7.157	-1.567	-3.352	-5.635	-9.973	-1.533	-4.512	-4.678	-7.86	-4.143	-8.033	-5.266	-5.702	-5.486	-6.645	-10.768	-7.111	-6.244	-3.311	-7.154	-7.375	-6.987	-9.308	-3.409	-10.827	-14.191	-5.551	-12.908	-8.951	-6.084	-12.244	-12.511	-7.204	-6.204	-4.431	-4.367	-11.494	-4.167	-7.321	-8.123	-8.43	-4.524	-9.597	-8.884	-8.775	-8.913	-5.59	-3.966	-6.495	-8.786	-10.551	-6.221	-4.614	-4.298	-9.981	-5.036	-7.289	-3.688	-5.058	-7.443	-6.382	-10.32	-7.155	-9.299	-6.504	-5.528	-10.065	-11.392	-12.617	-8.617	-10.782	-10.789	-1.718	-8.801
t57	-3.939	-7.954	-11.233	-5.667	-7.865	-6.227	-5.665	-5.313	-9.807	-8.492	-4.437	-6.131	-5.932	-11.056	-12.072	-8.31	-6.068	-6.926	-4.584	-6.371	-3.298	-10.423	-10.115	-10.568	-4.911	-5.463	-12.809	-7.117	-8.787	-7.939	-8.317	-5.444	-7.197	-6.387	-5.295	-5.989	-3.054	-11.325	-5.651	-16.812	-4.943	-8.428	-11.348	-9.465	-5.286	-5.177	-1.188	-3.433	-6.966	-12.21	-11.094	-13.17	-8.35	-11.412	-7.51	-6.929	-9.65	-10.605	-9.66	-8.644	-4.138	-8.044	-4.402	-3.622	-10.124	-9.381	-11.501	-3.647	-6.029	-11.869	-9.766	-6.87	-8.853	-6.312	-5.792	-9.046	-6.667	-11.452	-6.498	-4.779	-8.879	-11.332	-7.339	-3.415	-5.589	-4.348	-7.239	-1.26	-4.134	-6.271	-6.724	-15.381	-13.987	-11.012	-7.103	-6.094	-8.548	-10.615	-6.449	-10.084
t18	-5.394	-9.569	-7.602	-9.496	-6.173	-3.638	-9.495	-8.458	-2.53	-9.242	-9.797	-2.786	-4.69	-10.678	-10.969	-4.692	-7.879	-3.78	-10.932	-12.516	-8.223	-6.885	-7.389	-8.843	-6.197	-5.494	-2.146	-6.795	-12.329	-3.585	-2.79	-4.947	-8.448	-4.914	-5.751	-2.433	-3.43	-5.477	-5.536	-16.969	-5.114	-5.488	-10.949	-12.303	-7.421	-7.741	-4.609	-8.561	-3.394	-8.071	-10.82	-11.037	-8.252	-6.568	-5.399	-6.927	-10.17	-11.33	-6.653	-7.657	-6.594	-3.613	-7.55	-5.006	-7.259	-9.78	-5.611	-4.222	-9.884	-8.845	-7.133	-7.655	-1.822	-13.547	-10.185	-9.103	-6.749	-9.449	-7.134	-7.799	-9.928	-6.843	-8.96	-6.641	-7.359	-6.956	-8.906	-2.147	-5.829	-8.289	-8.825	-7.872	-8.746	-11.895	-7.924	-7.719	-4.93	-10.183	-8.127	-5.645
t50	-6.499	-8.754	-8.63	-9.124	-6.831	-0.474	-12.079	-7.835	-7.357	-10.631	-11.044	-11.59	-6.62	-7.496	-11.339	-6.972	-3.821	-12.706	-10.96	-4.386	-10.637	-8.967	-13.512	-9.984	-5.597	-16.549	-10.182	-9.926	-8.709	-6.871	-5.364	-7.49	-8.343	-10.651	-7.118	-1.987	-7.483	-10.779	-10.345	-12.776	-5.788	-11.742	-6.262	-9.914	-10.075	-9.189	-8.956	-4.964	-6.998	-13.883	-10.272	-11.338	-5.921	-7.874	-7.101	-7.155	-7.049	-6.52	-5.314	-11.211	-4.328	-5.551	-10.758	-9.105	-6.63	-8.805	-6.912	-9.052	-7.322	-10.387	-10.62	-6.947	-7.478	-5.833	-6.6	-6.916	-6.84	-12.115	-12.333	-11.241	-4.602	-3.255	-12.552	-6.919	-4.489	-9.673	-11.191	-5.117	-9.023	-9.99	-9.029	-7.564	-7.771	-8.124	-13.484	-2.963	-4.594	-6.839	-6.227	-11.131
t4	-7.544	-7.045	-6.222	-8.674	-2.429	-5.538	-7.952	-6.929	-9.148	-4.38	-4.842	-7.991	-6.832	-8.985	-8.277	-9.612	-5.997	-7.384	-9.275	-4.347	-8.323	-7.309	-11.423	-13.602	-7.984	-8.663	-8.449	-7.468	-10.781	-9.373	-10.214	-9.978	-3.414	-8.5	-9.088	-0.612	-8.247	-6.458	-12.379	-4.938	-5.561	-10.448	-6.487	-12.77	-9.944	-6.26	-8.443	-7.792	-3.616	-10.852	-3.577	-13.879	-7.487	-11.677	-5.098	-4.207	-11.46	-8.635	-8.214	-7.965	-7.937	-4.547	-12.654	-6.916	-7.155	-11.701	-2.932	-8.882	-9.665	-5.982	-11.199	-7.468	-4.228	-8.786	-2.71	-8.739	-7.315	-14.963	-7.332	-13.472	-7.749	-7.8	-4.956	-11.919	-5.671	-11.019	-11.314	-4.539	-6.76	-12.608	-4.797	-4.877	-7.633	-9.523	-7.94	-10.04	-11.444	-9.983	-8.682	-13.357
t1	-6.034	-6.939	-6.509	-12.346	-4.734	-10.433	-10.663	-8.047	-16.189	-11.273	-7.265	-8.787	-6.392	-9.516	-11.567	-2.958	-11.062	-5.805	-5.706	-7.197	-9.444	-8.653	-5.305	-11.998	-7.469	-9.716	-10.084	-9.561	-6.954	-4.473	-13.79	-3.776	-7.959	-4.983	-8.59	-5.433	-5.239	-5.699	-11.17	-5.195	-5.242	-11.393	-9.151	-3.882	-4.928	-6.979	-6.012	-10.663	-11.556	-7.555	-11.749	-14.95	-4.4	-4.092	-4.725	-8.649	-6.81	-6.739	-5.724	-4.653	-10.863	-4.648	-7.479	-7.883	-6.483	-9.842	-12.29	-5.926	-8.497	-7.628	-5.442	-9.911	-8.074	-11.708	-12.845	-8.384	-8.717	-9.821	-4.78	-8.723	-7.039	-9.606	-6.088	-7.456	-2.185	-11.405	-6.991	-8.437	-4.848	-9.552	-4.8	-7.798	-8.598	-8.839	-5.49	-0.513	-11.419	-10.811	-7.867	-13.482
t28	-7.325	-7.659	-8.243	-9.133	-10.391	-13.194	-6.272	-8.809	-9.517	-12.15	-6.338	-14.389	-8.678	-7.827	-12.456	-12.548	-11.861	-12.813	-6.068	-2.002	-11.507	-0.862	-6.846	-12.835	-10.402	-8.58	-8.898	-13.001	-7.05	-12.566	-10.294	-9.512	-7.069	-17.3	-15.303	-5.32	-7.274	-8.897	-9.429	-6.837	-10.639	-13.993	-9.2	-12.458	-7.18	-12.209	-9.461	-9.236	-8.017	-13.509	-10.044	-11.429	-8.992	-10.198	-11.393	-8.202	-7.235	-9.215	-6.773	-4.506	-13.278	-6.883	-11.529	-1.042	-7.501	-5.919	-8.866	-14.589	-10.648	-12.124	-13.322	-9.818	-7.314	-4.745	-7.661	-11.024	-9.097	-10.773	-8.289	-10.157	-9.099	-9.53	-4.779	-7.828	-9.229	-8.382	-10.251	-7.531	-7.626	-10.82	-4.008	-4.44	-9.459	-12.151	-9.003	-7.041	-10.106	-12.033	-9.339	-8.877
t15	-12.71	-2.592	-12.348	-3.158	-12.877	-7.69	-6.791	-5.921	-5.844	-11.559	-3.539	-8.348	-4.206	-9.105	-10.853	-9.415	-11.867	-2.396	-8.936	-6.16	-13.085	-5.496	-5.532	-14.626	-9.758	-0.831	-10.697	-14.448	-4.078	-2.909	-12.534	-11.891	-7.875	-9.923	-9.796	-5.363	-8.43	-4.016	-10.682	-7.267	-7.495	-6.926	-8.036	-5.612	-5.764	-5.744	-9.459	-9.207	-5.056	-12.794	-13.412	-11.957	-11.102	-7.044	-8.046	-10.441	-11.512	-9.934	-8.472	-5.361	-8.661	-7.668	-9.901	-5.595	-4.822	-3.733	-6.666	-12.535	-7.921	-7.131	-9.303	-8.604	-2.777	-10.768	-11.23	-5.882	-10.912	-6.547	-7.893	-8.69	-10.903	-16.152	-8.736	-5.647	-8.527	-13.436	-11.275	-3.205	-12.378	-8.14	-4.957	-14.123	-7.857	-10.558	-4.433	-6.027	-7.881	-10.264	-7.658	-11.062
t56	-8.455	-6.465	-6.581	-12.616	-9.604	-16.15	-6.421	-10.743	-5.015	-10.868	-4.415	-4.799	-4.378	-11.238	-5.367	-13.29	-8.376	-6.2	-5.508	-10.089	-9.42	-1.289	-13.244	-10.081	-12.44	-9.506	-8.285	-10.247	-6.979	-10.272	-9.591	-11.95	-1.881	-13.451	-8.906	-3.588	-6.675	-5.702	-4.756	-12.674	-9.26	-5.65	-6.059	-6.313	-7.425	-13.582	-7.312	-5.269	-8.636	-11.508	-12.682	-10.207	-6.133	-6.192	-7.723	-8.998	-14.181	-12.363	-8.129	-8.296	-9.737	-12.811	-7.4	-9.345	-11.522	-7.515	-4.709	-4.535	-8.527	-13.353	-6.127	-4.594	-6.598	-12.65	-13.739	-7.958	-1.691	-6.803	-8.388	-9.163	-1.633	-14.355	-8.493	-8.205	-3.883	-6.774	-11.72	-6.607	-14.889	-11.815	-4.943	-10.232	-16.815	-14.507	-9.475	-12.938	-5.71	-9.04	-5.729	-7.648
t6	-10.809	-8.12	-10.271	-12.348	-12.512	-6.599	-7.274	-9.493	-9.897	-10.592	-5.104	-6.07	-6.219	-6.802	-8.101	-8.829	-6.206	-9.767	-7.441	-9.5	-7.242	-11.414	-11.877	-11.208	-12.253	-6.859	-8.121	-12.126	-8.843	-9.882	-5.431	-9.136	-10.893	-3.456	-7.506	-5.867	-6.092	-11.232	-7.498	-10.545	-8.04	-8.808	-12.288	-12.157	-2.29	-7.615	-2.039	-15.99	-11.049	-16.046	-9.117	-7.481	-7.428	-14.972	-11.066	-4.205	-13.149	-12.01	-12.746	-8.628	-11.731	-5.952	-10.497	-12.578	-8.508	-1.315	-9.312	-9.433	-9.256	-6.129	-16.626	-15.383	-4.561	-9.388	-13.407	-6.898	-7.181	-10.933	-15.647	-10.102	-6.853	-6.14	-7.121	-0.997	-8.301	-9.943	-9.892	-6.403	-6.016	-9.311	-11.484	-11.67	-9.624	-8.747	-5.862	-13.585	-7.964	-8.281	-4.008	-5.563
t55	-11.553	-11.081	-8.539	-13.194	-9.158	-11.667	-8.323	-5.339	-13.138	-10.138	-7.629	-7.717	-8.017	-0.745	-10.641	-8.71	-3.066	-5.195	-9.578	-6.09	-9.943	-3.169	-9.975	-11.133	-15.747	-9.551	-6.267	-1.737	-7.36	-5.336	-11.048	-14.018	-7.217	-7.741	-9.373	-8.637	-5.66	-11.249	-10.035	-6.107	-12.073	-7.965	-11.488	-4.159	-9.535	-7.163	-13.103	-15.305	-10.158	-13.752	-11.166	-15.202	-2.829	-12.826	-5.825	-11.771	-7.047	-7.977	-8.445	-9.903	-15.602	-4.159	-15.427	-6.272	-8.021	-12.935	-8.709	-8.255	-7.367	-8.142	-9.632	-12.194	-9.007	-3.045	-7.064	-8.434	-6.568	-15.967	-8.023	-12.143	-2.881	-7.298	-9.236	-9.821	-7.4	-9.392	-12.087	-5.157	-7.332	-11.627	-6.838	-15.116	-13.88	-9.59	-4.839	-9.715	-10.313	-7.54	-4.929	-9.108
