G_AL1	G_AL2	G_AL3	G_AL4	G_AL5	G_AL6	G_AM1	G_AM10	G_AM11	G_AM12	G_AM13	G_AM14	G_AM15	G_AM16	G_AM17	G_AM2	G_AM3	G_AM4	G_AM5	G_AM6	G_AM7	G_AM8	G_AM9	G_BG100	G_BG101	G_BG102	G_BG103	G_BG104	G_BG105	G_BG106	G_BG107	G_BG108	G_BG109	G_BG110	G_BG111	G_BG112	G_BG113	G_BG114	G_BG115	G_BG116	G_BG117	G_BG118	G_BG119	G_BG120	G_BG121	G_BG122	G_BG123	G_BG124	G_BG125	G_BG126	G_BG127	G_BG128	G_BG44	G_BG45	G_BG46	G_BG47	G_BG48	G_BG49	G_BG50	G_BG51	G_BG52	G_BG53	G_BG54	G_BG55	G_BG56	G_BG57	G_BG58	G_BG59	G_BG60	G_BG61	G_BG62	G_BG63	G_BG64	G_BG65	G_BG66	G_BG67	G_BG68	G_BG69	G_BG70	G_BG71	G_BG72	G_BG73	G_BG74	G_BG75	G_BG76	G_BG77	G_BG78	G_BG79	G_BG80	G_BG81	G_BG82	G_BG83	G_BG84	G_BG85	G_BG86	G_BG87	G_BG88	G_BG89	G_BG90	G_BG91	G_BG92	G_BG93	G_BG94	G_BG95	G_BG96	G_BG97	G_BG98	G_BG99	G_BP1	G_BP2	G_BP3	G_BP4	G_BP5	G_BP6	G_BP7	G_BP8	G_FM10	G_FM100	G_FM101	G_FM102	G_FM103	G_FM104	G_FM105	G_FM106	G_FM107	G_FM108	G_FM109	G_FM11	G_FM110	G_FM111	G_FM12	G_FM13	G_FM14	G_FM15	G_FM16	G_FM17	G_FM18	G_FM19	G_FM2	G_FM20	G_FM21	G_FM22	G_FM23	G_FM24	G_FM25	G_FM26	G_FM27	G_FM28	G_FM29	G_FM3	G_FM30	G_FM31	G_FM32	G_FM33	G_FM34	G_FM35	G_FM36	G_FM37	G_FM38	G_FM39	G_FM4	G_FM40	G_FM41	G_FM42	G_FM43	G_FM44	G_FM45	G_FM46	G_FM47	G_FM48	G_FM49	G_FM5	G_FM50	G_FM51	G_FM52	G_FM53	G_FM54	G_FM55	G_FM56	G_FM57	G_FM58	G_FM59	G_FM6	G_FM60	G_FM61	G_FM62	G_FM63	G_FM64	G_FM65	G_FM66	G_FM67	G_FM68	G_FM69	G_FM7	G_FM70	G_FM71	G_FM72	G_FM73	G_FM74	G_FM75	G_FM76	G_FM77	G_FM78	G_FM79	G_FM8	G_FM80	G_FM81	G_FM82	G_FM83	G_FM84	G_FM85	G_FM86	G_FM87	G_FM88	G_FM89	G_FM9	G_FM90	G_FM91	G_FM92	G_FM93	G_FM94	G_FM95	G_FM96	G_FM97	G_FM98	G_FM99	G_HG1	G_HG10	G_HG11	G_HG12	G_HG13	G_HG14	G_HG15	G_HG16	G_HG17	G_HG18	G_HG19	G_HG2	G_HG20	G_HG21	G_HG22	G_HG23	G_HG24	G_HG25	G_HG26	G_HG27	G_HG28	G_HG29	G_HG3	G_HG4	G_HG5	G_HG6	G_HG7	G_HG8	G_HG9	G_KR1	G_KR2	G_KR3	G_KR4	G_KR5	G_KR6	G_KR7	G_KR8	G_MF1	G_MF10	G_MF11	G_MF12	G_MF13	G_MF14	G_MF15	G_MF16	G_MF17	G_MF18	G_MF19	G_MF2	G_MF20	G_MF21	G_MF22	G_MF23	G_MF24	G_MF25	G_MF3	G_MF4	G_MF5	G_MF6	G_MF7	G_MF8	G_MF9	G_OG1	G_OG2	G_OG3	G_OG4	G_OG5	G_OG6	G_OGR1	G_OGR2	G_OGR3	G_OGR4	G_OM1	G_OM10	G_OM11	G_OM12	G_OM13	G_OM14	G_OM15	G_OM16	G_OM17	G_OM18	G_OM19	G_OM2	G_OM20	G_OM21	G_OM22	G_OM23	G_OM24	G_OM3	G_OM4	G_OM5	G_OM6	G_OM7	G_OM8	G_OM9	G_OO1	G_OO2	G_OO3	G_OO4	G_OS1	G_OS2	G_OS3	G_OS4	G_OS5	G_OS6	G_PB1	G_PB10	G_PB11	G_PB12	G_PB13	G_PB14	G_PB2	G_PB3	G_PB4	G_PB5	G_PB6	G_PB7	G_PB8	G_PB9	G_PN1	G_PN10	G_PN11	G_PN12	G_PN13	G_PN14	G_PN15	G_PN16	G_PN17	G_PN18	G_PN19	G_PN2	G_PN20	G_PN21	G_PN22	G_PN23	G_PN24	G_PN25	G_PN26	G_PN3	G_PN4	G_PN5	G_PN6	G_PN7	G_PN8	G_PN9	G_QB1	G_QB10	G_QB11	G_QB12	G_QB13	G_QB14	G_QB15	G_QB16	G_QB17	G_QB18	G_QB19	G_QB2	G_QB3	G_QB4	G_QB5	G_QB6	G_QB7	G_QB8	G_QB9	G_RCH1	G_RCH2	G_RCH3	G_RCH4	G_RO1	G_RO10	G_RO11	G_RO2	G_RO3	G_RO4	G_RO5	G_RO6	G_RO7	G_RO8	G_RO9	G_SB1	G_SB2	G_SB3	G_SB4	G_SB5	G_SB6
Dadabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deferribacterota	0	0	16	0	0	0	0	0	0	95	0	21	0	163	54	20	112	397	0	96	0	30	745	0	205	0	66	0	0	0	9666	0	205	0	0	18	0	0	0	39	0	54	5	16	30	0	11	53	288	0	150	17	0	0	0	0	0	303	112	369	0	0	0	0	0	395	0	0	0	0	0	0	0	0	217	1509	503	0	177	41	61819	177	16	0	23	191	0	0	0	0	0	0	51	131	807	71	27	108	0	38	78	58	0	0	0	45	0	3010	0	0	0	52	167	11	17	165	3008	313	34870	404	328	5220	0	819	260	186	383	9330	7523	1051	715	0	0	0	0	4888	416	1200	822	0	0	1059	0	9	32	76	31	0	9	1240	0	18	112	25	29	507	2627	41	1244	40	648	40	100	0	1170	278	0	20	1147	0	55	113	147	688	0	1070	5156	299	38	226	258	21	2329	2814	139	849	30	59	282	17119	878	3306	0	0	3013	0	2770	673	3036	528	4418	1425	0	55	1636	18831	8975	276	112	2147	3010	4593	8455	1032	16134	508	0	1042	10138	4991	6052	14	23488	2296	68	107	0	0	0	0	0	0	100	0	680	4215	24	0	0	0	11	45	0	0	81	45	0	0	45	0	0	171	0	0	0	131	3393	85	1413	875	0	21	94063	282	0	5524	962	25	0	523	0	71	22	358	222	108	322	72	0	0	0	0	51	27	228	39	5764	0	0	1402	621	0	0	0	0	162	435	8	0	0	15	77	0	0	0	0	0	0	386	139	38	3739	29	0	0	0	41	16	19	0	0	0	0	453	16827	1000	0	543	0	380	0	312	0	502	0	20	0	0	0	0	19	24	0	0	43	0	0	0	138	0	0	0	117	0	43	69	73	0	0	1449	207	0	31	46	24	0	0	0	0	0	19	0	0	2831	0	296	119	51	180	521	82	38	68	0	0	4188	95	298	145	14357	0	0	0	0	0	0	20	0	34	6	0	0	37	455	0	0	0	0	0	0	0	0
Deinococcota	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	3	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dependentiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	8	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	226	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	102	52	21	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfobacterota	103	252	3644	46	0	285	248	18457	204	2875	127037	712	1024	15696	15902	1741	5584	39021	859	24794	0	9502	62956	227	403	4523	955	32	121	0	3165	399	213	7119	618	204	5136	1061	356	10163	686	147	196	327	205	71	260	470	31	0	319	36	99	478	2510	85	227	227	54	26268	13158	0	40541	203	131	525	8603	70	212	3097	215	1582	1505	0	49732	5310	1747	2466	11816	4376	2868	2421	38233	5469	29984	51305	5722	37971	1280	30315	42021	0	333	334	464	86610	42	3321	568	2485	57799	368	202	109	1683	6539	155	2876	444	1994	7824	2856	1870	1584	2176	1748	1013	12051	213	16929	3452	1634	166	35959	2122	48	1366	17047	2682	746	1788	5903	12256	27	0	6313	57	12443	29684	17276	322	3194	69	124	51274	24414	18065	273	361	1952	7384	3820	2676	1435	7760	44424	6422	42919	12815	1524	4726	1025	103	2474	4803	24165	138	69	7531	415	33	585	1157	35368	12443	1523	823	929	2525	5841	21591	6076	19715	7814	3995	33361	6601	9891	10874	19340	13067	67610	3783	277	22609	8059	141615	9914	26878	3204	23190	2751	9540	31773	4271	15292	22226	16157	12768	107123	47853	15453	20536	297	140	4128	5733	1007	25403	23687	27561	4297	926	20271	6051	648	1443	195	111	0	277	195	605	453	2949	3700	1621	22	12670	3195	1660	1869	1324	16762	10991	824	1791	353	10580	803	1470	879	307	2454	24472	491	448	1098	1403	557	1163	0	7310	547	79	15123	16458	29406	163	19354	374	18333	115	38168	29312	21914	17398	5492	18986	645	535	4316	37292	38	9750	70	11512	0	25203	27573	5112	6722	650	3074	175	5507	9192	687	123	139	87	386	69	16608	10435	43779	12308	0	12259	43618	0	47624	11430	105	114	165	2020	1727	1169	191	418	216	173	110	503	448	659	161	4416	134152	184	9816	517	196	113	13	27	1525	42	2484	296	209	1030	140	171	9871	565	0	54774	48055	51089	5349	86774	2310	21325	2066	13187	1698	1131	31123	7116	19830	41150	187	12527	1573	4968	95087	1680	26010	52891	403	132	9382	560	10517	91	0	4365	17840	35111	3014	158	7890	42	8069	4467	69534	9394	18616	3128	1145	245	85	476	18212	723	5632	60891	2342	222	241	12596	1187	897	77	81	256	1181	105	1391	1016
Elusimicrobiota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	15	0	64	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entotheonellaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euryarchaeota	0	0	0	0	0	0	0	59	0	21	0	38	0	0	0	0	0	56	55	0	0	46	42	110	4180	4718	0	1087	0	0	10032	0	0	172	0	0	1004	1737	0	1044	0	0	0	8	0	0	4	9	4	0	18	0	0	0	0	0	0	0	0	0	88	0	0	0	8	0	0	13	0	60	0	0	511	0	0	557	0	544	5766	0	0	882	86	997	0	0	0	0	197	619	0	0	21	91	0	49	27	26	41	91	43	83	0	40	0	50	4135	18	0	0	0	4	20	112	10	0	14	8916	25093	0	0	10987	7681	11634	22553	21434	5227	1732	0	16839	4138	1840	31672	0	1888	0	0	229	731	453	88	0	0	2889	348	0	1188	8338	1265	1449	0	546	0	1733	18040	0	181	996	5307	12022	6074	1287	2497	2245	117	164	391	2514	5252	0	0	0	3713	9862	0	9774	2397	12	238	408	372	281	879	3764	767	1305	39065	12986	840	46	0	264	5745	2830	4579	864	2028	0	873	3160	898	147	8263	0	0	207	7219	973	8814	0	1984	11218	2209	5346	41	2205	7570	16313	23541	0	4713	0	4663	4527	5828	5062	144	0	0	0	0	0	14040	0	182	11267	864	776	0	234	81	3226	759	0	215	1239	1101	752	1154	1470	2550	146	0	6518	448	0	0	0	16	0	4624	0	31	12	0	0	562	0	0	0	0	25	45	51	0	0	31	0	0	0	33127	318	0	0	24	0	0	0	37	0	53	41	0	0	0	0	0	0	0	0	0	0	0	25	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	28	0	0	16	0	0	0	0	0	0	31	0	29	0	79	17	0	0	4515	0	61	0	24	0	0	0	27	0	0	0	0	0	18	0	0	0	0	0	0	0	0	571	0	0	8	127	121	20	76	14	82	99	25	19	0	14	0	0	0	0	0	29	0	0	0	4348	16865	0	4530	1318	1088	3030	11018	6077	8070	36	0	0	0	0	0	0
Fibrobacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	6275	2468	8570	12806	38312	29035	3274	95657	162801	110041	65070	104085	106704	58296	161811	33608	137748	109924	184978	153219	55137	45590	113338	194961	171231	168053	103188	185273	182524	183019	135565	174800	44841	156653	178958	161431	184065	187763	183447	163728	70183	33028	26442	28076	41930	6827	18460	96782	25938	42570	69111	32798	11649	126225	141187	35196	34339	16033	15063	72970	65371	182619	61508	51420	59614	68930	150434	7446	14537	102284	48775	125204	159925	239	98238	154859	89696	178005	109425	183603	118644	124295	141951	150744	153721	134281	161591	157997	179590	136586	101956	177838	184034	172062	180427	90745	178107	157406	168083	64715	124684	140420	138842	167024	86495	151728	49670	126547	7796	116943	77435	101769	120382	54361	151076	138929	75561	114413	84887	58470	151799	156205	145242	88404	130040	83000	149967	155277	134354	60001	127596	26201	68518	10057	8579	50396	183912	84062	144393	27059	158208	67829	172581	52605	73948	100352	69478	7761	173130	163303	137197	178620	13217	45335	59587	131810	169242	128829	164942	169550	104401	110505	43604	17030	82517	126701	143086	134472	120517	46269	106625	114857	174714	103454	138330	155993	171892	121824	177703	187865	38292	146140	108214	145558	149666	140088	123251	99998	84577	71538	141282	50369	161996	136103	92937	92243	45305	136180	81495	61984	153853	112689	154781	96766	126273	111846	130227	176836	163260	32923	98794	102456	138390	137849	148238	23187	100479	124746	128968	98527	96990	176120	98150	117335	100649	101224	39190	169305	198017	108534	55788	23437	114284	29474	105032	175286	160352	186585	17151	178368	184693	78251	154189	119525	80978	181372	155883	155700	77919	105740	191938	97155	42057	180771	70089	48840	148547	165531	178286	162104	158821	45042	76123	126132	111853	73034	156467	149823	41363	152644	177374	101816	100509	38265	122563	79339	76384	180097	151667	161497	137141	135357	80749	96567	79885	165407	143456	1326	115212	77373	93475	72744	191070	95358	5273	88123	124933	12834	10886	3053	13403	27454	1651	15456	98784	127542	137946	180799	143125	94323	154793	134132	176135	51409	20038	53462	26517	130935	145231	25820	24667	36380	190141	134498	114539	160016	14420	32715	16016	31525	99012	159576	163451	149409	32270	186982	116131	94855	16260	104534	89181	108093	132918	152423	138766	94791	166100	10063	116853	127419	67968	147868	81374	162774	139938	155865	122586	178033	169013	138875	182707	133068	147286	145301	171544	78772	176684	80208	188625	115010	119699	112743	50858	156110	175673	177744	50958	6343	140341	159910	147303	2422	117623	94688	127827	178299	168984	120254	161803	144673	116410	36341	2896	2234	72782	134242	172245	187621	88191	166962	167368	169888	150233	60001	136781	178783	11829	8036	67037	5801	23501	6849
Fusobacteriota	16	35	23	25	42	2682	0	68	0	48	123	141	0	109	62	0	791	67	690	77	0	189	143	22	0	167	0	50	0	0	152	0	123739	0	129	0	0	50	0	0	8	10	11	43	23	202	548	15	0	0	11	5	24	35	104	244	168	5090	19569	0	0	0	217	323	444	389	364	91651	128881	69151	5298	633	1695	0	0	7347	0	3395	0	0	905	0	0	1563	0	30	0	11	38	72	15027	0	0	1122	0	16049	42	1006	10855	213	151	1674	157	40	272	0	0	18	0	118	333	40	33	156	131	9937	1819	49	0	0	0	0	0	0	0	19964	0	89	0	117	90	166	0	0	0	597	237	38	0	0	196	721	45	0	57	577	553	377	296	30	0	0	0	135	0	404	11229	343	284	49	0	0	268	784	0	0	0	0	0	0	0	0	0	220	0	0	0	0	27	0	25	0	126	0	0	1775	539	47	88	30	0	24	23	61	0	0	0	0	0	0	0	36	0	0	121	20	0	0	0	0	0	58	0	17	43	180	0	28	0	0	0	21	0	10	43	120	0	528	0	413	355	116136	9047	30387	3921	0	367	19	0	4338	9817	66	22650	499	1260	0	1311	58	51261	1174	0	90	84962	33	0	740	0	522	355	449	38	0	7257	65	0	0	0	0	0	0	0	0	26	0	1187	24	15	0	0	0	2156	0	0	65	503	0	38	83	7615	32759	77	103	65	25	18	14	12	11	382	0	10085	0	10	136	190	0	0	486	0	9	0	0	86	110	0	24	18	637	0	0	0	26	613	250	0	109	0	72	61	0	0	0	22	0	25274	0	19168	30824	9	11996	104	112	0	407	4443	0	1077	0	0	0	67621	1341	0	0	0	0	1040	1520	1541	680	0	0	61	46103	0	984	0	1565	19	0	337	0	58	685	0	42	142	0	56	0	0	0	51	750	5	624	84	163	458	497	0	42	0	18	25	117	254	882	21	19	242	13	0	89	0	109	27123	111	40	29319	40	21
Gemmatimonadota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	155	51	14	61	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	14	0	0	0	0	0	0	9	10	0	188	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	65	48	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	600	28	0	0	0	232	0	8	0	21	0	71	0	0	0	0	0	68	0	0	0	25	0	109	0	21	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	143	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0
